kode_wilayah,pos,rencana,realisasi
3404010,APK & baliho,37655000,9821000
3404010,Konsolidasi tim,49488000,16108000
3404010,Saksi,45913000,7365000
3404010,Logistik kampanye,47881000,9455000
3404010,Media & digital,22498000,15733000
3404010,Program sosial,34811000,4611000
3404020,APK & baliho,27398000,9131000
3404020,Konsolidasi tim,20245000,14522000
3404020,Saksi,41894000,12481000
3404020,Logistik kampanye,29140000,22304000
3404020,Media & digital,21328000,5225000
3404020,Program sosial,11716000,5881000
3404030,APK & baliho,45334000,9293000
3404030,Konsolidasi tim,26189000,20910000
3404030,Saksi,70328000,16058000
3404030,Logistik kampanye,51504000,6211000
3404030,Media & digital,83037000,56552000
3404030,Program sosial,23043000,5269000
3404040,APK & baliho,44991000,24611000
3404040,Konsolidasi tim,17060000,9287000
3404040,Saksi,52254000,24197000
3404040,Logistik kampanye,28764000,13614000
3404040,Media & digital,15267000,5165000
3404040,Program sosial,52518000,44471000
3404050,APK & baliho,15702000,8401000
3404050,Konsolidasi tim,9675000,5058000
3404050,Saksi,41480000,8776000
3404050,Logistik kampanye,33220000,10290000
3404050,Media & digital,14317000,4363000
3404050,Program sosial,32773000,16418000
3404060,APK & baliho,20439000,5170000
3404060,Konsolidasi tim,59891000,26156000
3404060,Saksi,97159000,42417000
3404060,Logistik kampanye,23957000,15091000
3404060,Media & digital,67190000,12558000
3404060,Program sosial,81397000,9878000
3404070,APK & baliho,9193000,3134000
3404070,Konsolidasi tim,14593000,1501000
3404070,Saksi,13101000,2531000
3404070,Logistik kampanye,39135000,18504000
3404070,Media & digital,36042000,29556000
3404070,Program sosial,44160000,15998000
3404080,APK & baliho,26500000,3465000
3404080,Konsolidasi tim,16467000,9010000
3404080,Saksi,27442000,16984000
3404080,Logistik kampanye,39437000,30926000
3404080,Media & digital,11310000,1895000
3404080,Program sosial,35108000,17034000
3404090,APK & baliho,53600000,20590000
3404090,Konsolidasi tim,32378000,8718000
3404090,Saksi,23401000,13260000
3404090,Logistik kampanye,41723000,33632000
3404090,Media & digital,57354000,30271000
3404090,Program sosial,30617000,7344000
3404100,APK & baliho,78670000,49449000
3404100,Konsolidasi tim,58394000,6304000
3404100,Saksi,16456000,8193000
3404100,Logistik kampanye,27002000,21419000
3404100,Media & digital,38305000,20684000
3404100,Program sosial,87014000,15145000
3404110,APK & baliho,11514000,2365000
3404110,Konsolidasi tim,20757000,10610000
3404110,Saksi,19727000,2538000
3404110,Logistik kampanye,10128000,4917000
3404110,Media & digital,18653000,11324000
3404110,Program sosial,11057000,7472000
3404120,APK & baliho,37496000,19666000
3404120,Konsolidasi tim,33084000,4645000
3404120,Saksi,38871000,17282000
3404120,Logistik kampanye,15085000,5910000
3404120,Media & digital,81553000,38885000
3404120,Program sosial,60403000,25899000
3404130,APK & baliho,42570000,16614000
3404130,Konsolidasi tim,23669000,14541000
3404130,Saksi,58877000,48764000
3404130,Logistik kampanye,18783000,10596000
3404130,Media & digital,45135000,15745000
3404130,Program sosial,45909000,26816000
3404140,APK & baliho,43171000,27820000
3404140,Konsolidasi tim,18719000,15374000
3404140,Saksi,54256000,22532000
3404140,Logistik kampanye,63608000,10674000
3404140,Media & digital,25251000,18942000
3404140,Program sosial,63845000,21081000
3404150,APK & baliho,19589000,4685000
3404150,Konsolidasi tim,14287000,8649000
3404150,Saksi,18765000,7915000
3404150,Logistik kampanye,6708000,5204000
3404150,Media & digital,12958000,7065000
3404150,Program sosial,7130000,4729000
3404160,APK & baliho,90780000,66817000
3404160,Konsolidasi tim,32275000,8244000
3404160,Saksi,69621000,56402000
3404160,Logistik kampanye,37657000,7313000
3404160,Media & digital,71781000,23290000
3404160,Program sosial,28340000,15312000
3404170,APK & baliho,18526000,11025000
3404170,Konsolidasi tim,17400000,10482000
3404170,Saksi,20594000,16165000
3404170,Logistik kampanye,9501000,7081000
3404170,Media & digital,23981000,18847000
3404170,Program sosial,29846000,21383000
