dapil,partai,nama,nomor_urut,suara_pribadi,status
Dapil 1,PDIP,Caleg PDIP-1-1 (contoh),1,2775,kita
Dapil 1,PDIP,Caleg PDIP-1-2 (contoh),2,7830,lain
Dapil 1,PDIP,Caleg PDIP-1-3 (contoh),3,1728,lain
Dapil 1,PDIP,Caleg PDIP-1-4 (contoh),4,6727,lain
Dapil 1,GERINDRA,Caleg GERINDRA-1-1 (contoh),1,1826,lain
Dapil 1,GERINDRA,Caleg GERINDRA-1-2 (contoh),2,1897,lain
Dapil 1,GERINDRA,Caleg GERINDRA-1-3 (contoh),3,7973,lain
Dapil 1,GERINDRA,Caleg GERINDRA-1-4 (contoh),4,8618,lain
Dapil 1,GOLKAR,Caleg GOLKAR-1-1 (contoh),1,6082,lain
Dapil 1,GOLKAR,Caleg GOLKAR-1-2 (contoh),2,3264,lain
Dapil 1,GOLKAR,Caleg GOLKAR-1-3 (contoh),3,5802,lain
Dapil 1,GOLKAR,Caleg GOLKAR-1-4 (contoh),4,1458,lain
Dapil 1,PKB,Caleg PKB-1-1 (contoh),1,419,lain
Dapil 1,PKB,Caleg PKB-1-2 (contoh),2,5832,lain
Dapil 1,PKB,Caleg PKB-1-3 (contoh),3,8285,lain
Dapil 1,PKB,Caleg PKB-1-4 (contoh),4,5773,lain
Dapil 1,PKS,Caleg PKS-1-1 (contoh),1,1381,lain
Dapil 1,PKS,Caleg PKS-1-2 (contoh),2,3548,lain
Dapil 1,PKS,Caleg PKS-1-3 (contoh),3,5260,lain
Dapil 1,PKS,Caleg PKS-1-4 (contoh),4,3248,lain
Dapil 1,NASDEM,Caleg NASDEM-1-1 (contoh),1,7347,lain
Dapil 1,NASDEM,Caleg NASDEM-1-2 (contoh),2,3893,lain
Dapil 1,NASDEM,Caleg NASDEM-1-3 (contoh),3,3220,lain
Dapil 1,NASDEM,Caleg NASDEM-1-4 (contoh),4,6401,lain
Dapil 1,DEMOKRAT,Caleg DEMOKRAT-1-1 (contoh),1,5440,lain
Dapil 1,DEMOKRAT,Caleg DEMOKRAT-1-2 (contoh),2,5193,lain
Dapil 1,DEMOKRAT,Caleg DEMOKRAT-1-3 (contoh),3,2172,lain
Dapil 1,DEMOKRAT,Caleg DEMOKRAT-1-4 (contoh),4,1110,lain
Dapil 1,PAN,Caleg PAN-1-1 (contoh),1,7726,lain
Dapil 1,PAN,Caleg PAN-1-2 (contoh),2,7094,lain
Dapil 1,PAN,Caleg PAN-1-3 (contoh),3,1635,lain
Dapil 1,PAN,Caleg PAN-1-4 (contoh),4,3197,lain
Dapil 1,PPP,Caleg PPP-1-1 (contoh),1,6557,lain
Dapil 1,PPP,Caleg PPP-1-2 (contoh),2,6049,lain
Dapil 1,PPP,Caleg PPP-1-3 (contoh),3,1805,lain
Dapil 1,PPP,Caleg PPP-1-4 (contoh),4,4730,lain
Dapil 1,PSI,Caleg PSI-1-1 (contoh),1,4345,lain
Dapil 1,PSI,Caleg PSI-1-2 (contoh),2,1676,lain
Dapil 1,PSI,Caleg PSI-1-3 (contoh),3,5032,lain
Dapil 1,PSI,Caleg PSI-1-4 (contoh),4,7738,lain
Dapil 2,PDIP,Caleg PDIP-2-1 (contoh),1,7622,kita
Dapil 2,PDIP,Caleg PDIP-2-2 (contoh),2,650,lain
Dapil 2,PDIP,Caleg PDIP-2-3 (contoh),3,1037,lain
Dapil 2,PDIP,Caleg PDIP-2-4 (contoh),4,7996,lain
Dapil 2,GERINDRA,Caleg GERINDRA-2-1 (contoh),1,1445,lain
Dapil 2,GERINDRA,Caleg GERINDRA-2-2 (contoh),2,455,lain
Dapil 2,GERINDRA,Caleg GERINDRA-2-3 (contoh),3,1947,lain
Dapil 2,GERINDRA,Caleg GERINDRA-2-4 (contoh),4,4779,lain
Dapil 2,GOLKAR,Caleg GOLKAR-2-1 (contoh),1,2835,lain
Dapil 2,GOLKAR,Caleg GOLKAR-2-2 (contoh),2,578,lain
Dapil 2,GOLKAR,Caleg GOLKAR-2-3 (contoh),3,6127,lain
Dapil 2,GOLKAR,Caleg GOLKAR-2-4 (contoh),4,3649,lain
Dapil 2,PKB,Caleg PKB-2-1 (contoh),1,478,lain
Dapil 2,PKB,Caleg PKB-2-2 (contoh),2,6083,lain
Dapil 2,PKB,Caleg PKB-2-3 (contoh),3,415,lain
Dapil 2,PKB,Caleg PKB-2-4 (contoh),4,1156,lain
Dapil 2,PKS,Caleg PKS-2-1 (contoh),1,1195,lain
Dapil 2,PKS,Caleg PKS-2-2 (contoh),2,1520,lain
Dapil 2,PKS,Caleg PKS-2-3 (contoh),3,1552,lain
Dapil 2,PKS,Caleg PKS-2-4 (contoh),4,5542,lain
Dapil 2,NASDEM,Caleg NASDEM-2-1 (contoh),1,7816,lain
Dapil 2,NASDEM,Caleg NASDEM-2-2 (contoh),2,8025,lain
Dapil 2,NASDEM,Caleg NASDEM-2-3 (contoh),3,2778,lain
