kode_wilayah,tujuan,luas_target_km2,status,catatan
3404010,Titik keramaian & rute kampanye,15.8,terbang,
3404020,Survei lokasi APK/baliho,9.3,selesai,
3404030,Pemetaan akses jalan tim,8.3,rencana,
3404040,Validasi sebaran rumah vs DPT,12.9,terbang,
3404050,Titik keramaian & rute kampanye,16.7,selesai,
3404060,Survei lokasi APK/baliho,19.6,rencana,
3404070,Pemetaan akses jalan tim,19.3,terbang,
3404080,Validasi sebaran rumah vs DPT,12.9,selesai,
3404090,Titik keramaian & rute kampanye,25.2,rencana,
3404100,Survei lokasi APK/baliho,25.4,terbang,
3404110,Pemetaan akses jalan tim,21.0,selesai,
3404120,Validasi sebaran rumah vs DPT,14.1,rencana,
3404130,Titik keramaian & rute kampanye,24.5,terbang,
3404140,Survei lokasi APK/baliho,21.2,selesai,
3404150,Pemetaan akses jalan tim,25.9,rencana,
3404160,Validasi sebaran rumah vs DPT,31.8,terbang,
3404170,Titik keramaian & rute kampanye,19.8,selesai,
