kode_wilayah,tanggal,terdata,mendukung,ragu,menolak
3404010,2029-07-01,2823,1125,632,1066
3404020,2029-07-01,1616,714,544,358
3404030,2029-07-01,3293,1490,1054,749
3404040,2029-07-01,8155,2861,2475,2819
3404050,2029-07-01,6797,2936,2004,1857
3404060,2029-07-01,18228,6921,3467,7840
3404070,2029-07-01,4581,1369,1365,1847
3404080,2029-07-01,8758,3111,2885,2762
3404090,2029-07-01,11395,6184,1854,3357
3404100,2029-07-01,11348,5966,3746,1636
3404110,2029-07-01,4376,1970,998,1408
3404120,2029-07-01,24952,14113,6719,4120
3404130,2029-07-01,5484,2744,1003,1737
3404140,2029-07-01,17366,7826,4054,5486
3404150,2029-07-01,3068,1555,467,1046
3404160,2029-07-01,11440,3908,2484,5048
3404170,2029-07-01,13467,5251,2649,5567
