kode_wilayah,tahun,partai,suara
3404010,2024,PDIP,7407
3404010,2024,GERINDRA,4901
3404010,2024,GOLKAR,4859
3404010,2024,PKB,3868
3404010,2024,PKS,2324
3404010,2024,NASDEM,2630
3404010,2024,DEMOKRAT,1936
3404010,2024,PAN,2238
3404010,2024,PPP,768
3404010,2024,PSI,809
3404020,2024,PDIP,6642
3404020,2024,GERINDRA,4339
3404020,2024,GOLKAR,2150
3404020,2024,PKB,2061
3404020,2024,PKS,4017
3404020,2024,NASDEM,3060
3404020,2024,DEMOKRAT,2518
3404020,2024,PAN,1179
3404020,2024,PPP,1140
3404020,2024,PSI,1023
3404030,2024,PDIP,6775
3404030,2024,GERINDRA,5995
3404030,2024,GOLKAR,11060
3404030,2024,PKB,8456
3404030,2024,PKS,4922
3404030,2024,NASDEM,2923
3404030,2024,DEMOKRAT,5985
3404030,2024,PAN,4078
3404030,2024,PPP,3007
3404030,2024,PSI,1515
3404040,2024,PDIP,4796
3404040,2024,GERINDRA,8420
3404040,2024,GOLKAR,2894
3404040,2024,PKB,6360
3404040,2024,PKS,5406
3404040,2024,NASDEM,1881
3404040,2024,DEMOKRAT,2631
3404040,2024,PAN,1811
3404040,2024,PPP,1072
3404040,2024,PSI,1143
3404050,2024,PDIP,5794
3404050,2024,GERINDRA,2725
3404050,2024,GOLKAR,4158
3404050,2024,PKB,3976
3404050,2024,PKS,1331
3404050,2024,NASDEM,1351
3404050,2024,DEMOKRAT,2289
3404050,2024,PAN,1449
3404050,2024,PPP,766
3404050,2024,PSI,509
3404060,2024,PDIP,11993
3404060,2024,GERINDRA,8061
3404060,2024,GOLKAR,11461
3404060,2024,PKB,8533
3404060,2024,PKS,11806
3404060,2024,NASDEM,3892
3404060,2024,DEMOKRAT,6681
3404060,2024,PAN,4483
3404060,2024,PPP,2790
3404060,2024,PSI,2876
3404070,2024,PDIP,6171
3404070,2024,GERINDRA,2592
3404070,2024,GOLKAR,2586
3404070,2024,PKB,3659
3404070,2024,PKS,3109
3404070,2024,NASDEM,3006
3404070,2024,DEMOKRAT,1271
3404070,2024,PAN,1588
3404070,2024,PPP,586
3404070,2024,PSI,1398
3404080,2024,PDIP,5861
3404080,2024,GERINDRA,4397
3404080,2024,GOLKAR,4115
3404080,2024,PKB,2493
3404080,2024,PKS,2019
3404080,2024,NASDEM,1826
3404080,2024,DEMOKRAT,1784
3404080,2024,PAN,1015
3404080,2024,PPP,1256
3404080,2024,PSI,1268
3404090,2024,PDIP,10218
3404090,2024,GERINDRA,7796
3404090,2024,GOLKAR,5913
3404090,2024,PKB,2381
3404090,2024,PKS,2931
3404090,2024,NASDEM,2976
3404090,2024,DEMOKRAT,2166
3404090,2024,PAN,1176
3404090,2024,PPP,2129
3404090,2024,PSI,1633
3404100,2024,PDIP,15185
3404100,2024,GERINDRA,5804
3404100,2024,GOLKAR,8120
3404100,2024,PKB,6107
3404100,2024,PKS,3638
3404100,2024,NASDEM,5607
3404100,2024,DEMOKRAT,3830
3404100,2024,PAN,3005
3404100,2024,PPP,2767
3404100,2024,PSI,1221
3404110,2024,PDIP,1637
3404110,2024,GERINDRA,2078
3404110,2024,GOLKAR,1626
3404110,2024,PKB,1773
3404110,2024,PKS,1294
3404110,2024,NASDEM,900
3404110,2024,DEMOKRAT,878
3404110,2024,PAN,1283
3404110,2024,PPP,853
3404110,2024,PSI,719
3404120,2024,PDIP,13701
3404120,2024,GERINDRA,7512
3404120,2024,GOLKAR,9353
3404120,2024,PKB,5246
3404120,2024,PKS,6978
3404120,2024,NASDEM,5228
3404120,2024,DEMOKRAT,4200
3404120,2024,PAN,4357
3404120,2024,PPP,2140
3404120,2024,PSI,2262
3404130,2024,PDIP,14187
3404130,2024,GERINDRA,4535
3404130,2024,GOLKAR,8402
3404130,2024,PKB,3383
3404130,2024,PKS,2913
3404130,2024,NASDEM,2639
3404130,2024,DEMOKRAT,3175
3404130,2024,PAN,4565
3404130,2024,PPP,1828
3404130,2024,PSI,1530
3404140,2024,PDIP,10515
3404140,2024,GERINDRA,5349
3404140,2024,GOLKAR,5536
3404140,2024,PKB,7139
3404140,2024,PKS,3406
3404140,2024,NASDEM,3467
3404140,2024,DEMOKRAT,3090
3404140,2024,PAN,2145
3404140,2024,PPP,1626
3404140,2024,PSI,2396
3404150,2024,PDIP,1471
3404150,2024,GERINDRA,2390
3404150,2024,GOLKAR,1932
3404150,2024,PKB,1742
3404150,2024,PKS,1125
3404150,2024,NASDEM,1426
3404150,2024,DEMOKRAT,1236
3404150,2024,PAN,1046
3404150,2024,PPP,614
3404150,2024,PSI,670
3404160,2024,PDIP,14970
3404160,2024,GERINDRA,16525
3404160,2024,GOLKAR,4908
3404160,2024,PKB,7582
3404160,2024,PKS,7390
3404160,2024,NASDEM,5091
3404160,2024,DEMOKRAT,4550
3404160,2024,PAN,3056
3404160,2024,PPP,3011
3404160,2024,PSI,2573
3404170,2024,PDIP,7032
3404170,2024,GERINDRA,6407
3404170,2024,GOLKAR,5914
3404170,2024,PKB,2032
3404170,2024,PKS,4476
3404170,2024,NASDEM,3614
3404170,2024,DEMOKRAT,2189
3404170,2024,PAN,2250
3404170,2024,PPP,892
3404170,2024,PSI,1718
