kode_wilayah,isu,penyebutan,sentimen_ke_kita
3404010,Jalan rusak,131,0.35
3404010,Sampah,234,0.44
3404010,Kesehatan,156,0.15
3404020,Lapangan kerja,121,-0.18
3404020,Banjir/lahar,69,-0.27
3404020,Bantuan UMKM,130,0.4
3404030,Harga pupuk,195,0.48
3404030,Pendidikan gratis,198,0.17
3404030,Sengketa tanah,183,0.08
3404040,Sampah,70,-0.11
3404040,Kesehatan,122,0.34
3404040,Air bersih,77,0.65
3404050,Banjir/lahar,190,0.05
3404050,Bantuan UMKM,198,0.46
3404050,Jalan rusak,217,0.56
3404060,Pendidikan gratis,82,0.11
3404060,Sengketa tanah,212,0.32
3404060,Lapangan kerja,101,-0.42
3404070,Kesehatan,49,0.67
3404070,Air bersih,20,0.32
3404070,Harga pupuk,40,0.52
3404080,Bantuan UMKM,95,0.02
3404080,Jalan rusak,154,-0.33
3404080,Sampah,58,0.3
3404090,Sengketa tanah,54,-0.1
3404090,Lapangan kerja,116,-0.41
3404090,Banjir/lahar,182,0.47
3404100,Air bersih,106,-0.39
3404100,Harga pupuk,210,0.36
3404100,Pendidikan gratis,40,0.14
3404110,Jalan rusak,59,-0.07
3404110,Sampah,187,0.18
3404110,Kesehatan,228,0.32
3404120,Lapangan kerja,105,-0.37
3404120,Banjir/lahar,116,-0.55
3404120,Bantuan UMKM,208,0.17
3404130,Harga pupuk,99,0.04
3404130,Pendidikan gratis,44,-0.53
3404130,Sengketa tanah,166,-0.14
3404140,Sampah,58,0.67
3404140,Kesehatan,219,0.35
3404140,Air bersih,122,0.18
3404150,Banjir/lahar,17,0.07
3404150,Bantuan UMKM,223,0.51
3404150,Jalan rusak,32,-0.13
3404160,Pendidikan gratis,222,0.61
3404160,Sengketa tanah,80,0.66
3404160,Lapangan kerja,237,0.07
3404170,Kesehatan,141,-0.16
3404170,Air bersih,139,-0.27
3404170,Harga pupuk,20,-0.37
