kode_wilayah,ormas,anggota,pengurus,kedekatan,pengaruh
3404010,NU,1947,5,-0.26,0.83
3404010,Muhammadiyah,3049,32,0.72,0.82
3404010,Ormas Pemuda,2231,19,0.37,0.67
3404010,Ormas Tani,3415,52,0.31,0.33
3404010,Ormas Nelayan,1818,32,-0.45,0.84
3404010,Paguyuban Warga,2757,42,0.75,0.59
3404010,Ormas Keagamaan Lain,1498,32,0.6,0.93
3404020,NU,2977,19,-0.28,0.71
3404020,Muhammadiyah,1799,21,0.18,0.69
3404020,Ormas Nelayan,3164,6,-0.13,0.62
3404020,Ormas Perempuan,1094,45,0.71,0.33
3404020,Paguyuban Warga,3382,36,0.5,0.76
3404020,Ormas Keagamaan Lain,321,52,0.59,0.92
3404030,NU,3894,19,0.79,0.76
3404030,Ormas Pemuda,1507,43,0.18,0.27
3404030,Ormas Tani,650,46,0.78,0.81
3404030,Ormas Nelayan,5978,36,-0.07,0.32
3404030,Ormas Perempuan,2469,50,-0.33,0.39
3404030,Paguyuban Warga,5526,35,-0.5,0.32
3404030,Ormas Keagamaan Lain,949,38,0.68,0.68
3404040,NU,2791,15,0.5,0.72
3404040,Muhammadiyah,2085,10,-0.25,0.54
3404040,Ormas Pemuda,1866,30,-0.39,0.89
3404040,Ormas Tani,855,42,0.82,0.77
3404040,Ormas Nelayan,3047,39,-0.28,0.42
3404040,Ormas Perempuan,1419,38,-0.01,0.86
3404040,Paguyuban Warga,2314,44,0.05,0.3
3404040,Ormas Keagamaan Lain,4338,53,0.68,0.61
3404050,NU,477,38,0.53,0.83
3404050,Ormas Pemuda,1820,42,-0.14,0.85
3404050,Ormas Nelayan,2609,39,-0.25,0.21
3404050,Paguyuban Warga,1569,33,0.23,0.66
3404060,NU,8190,59,0.27,0.45
3404060,Muhammadiyah,4802,44,0.31,0.23
3404060,Ormas Pemuda,1424,41,0.54,0.96
3404060,Ormas Tani,908,53,0.38,0.31
3404060,Paguyuban Warga,6500,10,0.7,0.39
3404060,Ormas Keagamaan Lain,5383,33,0.43,0.55
3404070,NU,614,31,-0.01,0.39
3404070,Ormas Pemuda,1302,29,0.32,0.36
3404070,Ormas Tani,326,56,-0.08,0.41
3404070,Ormas Perempuan,538,60,0.28,0.42
3404070,Paguyuban Warga,948,24,-0.17,0.85
3404070,Ormas Keagamaan Lain,2034,27,0.81,0.7
3404080,NU,1991,35,0.64,0.44
3404080,Muhammadiyah,762,24,0.49,0.32
3404080,Ormas Pemuda,432,52,0.32,0.78
3404080,Ormas Tani,320,23,0.02,0.66
3404080,Paguyuban Warga,775,4,0.11,0.75
3404080,Ormas Keagamaan Lain,1041,17,-0.38,0.45
3404090,Muhammadiyah,1827,46,-0.47,0.95
3404090,Ormas Pemuda,611,46,-0.07,0.69
3404090,Ormas Tani,4619,6,-0.05,0.53
3404090,Ormas Nelayan,4592,38,0.43,0.94
3404090,Ormas Perempuan,1698,39,0.65,0.6
3404090,Paguyuban Warga,3515,39,0.53,0.68
3404090,Ormas Keagamaan Lain,3096,13,-0.16,0.92
3404100,NU,436,38,-0.32,0.67
3404100,Muhammadiyah,2470,26,-0.04,0.5
3404100,Ormas Pemuda,3702,8,-0.2,0.46
3404100,Ormas Tani,5746,60,-0.13,0.88
3404100,Ormas Nelayan,4326,17,-0.19,0.56
3404100,Paguyuban Warga,1698,48,-0.02,0.82
3404100,Ormas Keagamaan Lain,2993,44,0.62,0.59
3404110,NU,1531,22,0.86,0.72
3404110,Ormas Pemuda,838,7,-0.29,0.36
3404110,Ormas Tani,1434,7,-0.31,0.61
3404110,Ormas Nelayan,208,30,0.92,0.66
3404110,Paguyuban Warga,604,57,0.83,0.83
3404110,Ormas Keagamaan Lain,1607,15,0.31,0.61
3404120,NU,7160,8,0.55,0.84
3404120,Muhammadiyah,4226,7,0.52,0.2
3404120,Ormas Nelayan,7391,30,0.4,0.3
3404120,Ormas Keagamaan Lain,5821,41,-0.11,0.79
3404130,NU,1274,19,-0.25,1.0
3404130,Ormas Pemuda,4647,29,0.4,0.45
3404130,Ormas Nelayan,5339,52,0.14,0.68
3404130,Paguyuban Warga,4843,50,-0.12,0.65
3404130,Ormas Keagamaan Lain,348,30,-0.2,0.84
3404140,NU,2331,50,0.58,0.44
3404140,Muhammadiyah,2843,58,0.72,0.3
3404140,Ormas Pemuda,3235,27,0.87,0.93
3404140,Ormas Nelayan,1935,29,-0.41,0.87
3404140,Ormas Perempuan,362,37,0.19,0.24
3404140,Paguyuban Warga,5127,41,0.13,0.65
3404150,NU,236,40,0.95,0.73
3404150,Muhammadiyah,1453,7,0.73,0.84
3404150,Ormas Tani,1604,3,-0.46,0.98
3404150,Ormas Nelayan,519,46,0.6,0.96
3404150,Ormas Perempuan,1364,11,0.53,0.24
3404150,Paguyuban Warga,1421,40,0.55,0.87
3404150,Ormas Keagamaan Lain,335,3,0.19,0.6
3404160,NU,1964,10,-0.06,0.46
3404160,Muhammadiyah,4247,51,0.85,0.21
3404160,Ormas Tani,3641,28,0.67,0.77
3404160,Ormas Nelayan,2484,34,-0.15,0.44
3404160,Ormas Perempuan,3801,43,0.87,0.27
3404160,Paguyuban Warga,7199,52,0.95,0.83
3404160,Ormas Keagamaan Lain,1458,45,-0.32,0.37
3404170,NU,1124,40,-0.27,0.6
3404170,Ormas Pemuda,4686,34,0.83,0.57
3404170,Ormas Tani,1900,17,-0.27,0.52
3404170,Ormas Perempuan,1660,12,-0.46,0.47
3404170,Ormas Keagamaan Lain,644,30,0.58,0.96
