kode_wilayah,partai,pengurus_aktif,saksi_disiapkan,mesin_skor,dukungan_ke_kita
3404010,PDIP,20,67,0.57,0.94
3404010,GERINDRA,44,22,0.61,0.91
3404010,GOLKAR,56,16,0.59,0.09
3404010,PKB,26,41,0.5,0.85
3404010,PKS,71,40,0.65,0.92
3404010,NASDEM,54,70,0.58,0.74
3404010,DEMOKRAT,5,21,0.79,0.41
3404010,PAN,85,22,0.87,0.2
3404010,PPP,41,1,0.54,0.89
3404010,PSI,41,66,0.94,0.9
3404020,PDIP,10,5,0.84,0.3
3404020,GERINDRA,34,46,0.22,0.0
3404020,GOLKAR,79,51,0.3,0.83
3404020,PKB,49,40,0.57,0.02
3404020,PKS,46,1,0.93,0.9
3404020,NASDEM,62,20,0.8,0.99
3404020,DEMOKRAT,5,4,0.18,0.6
3404020,PAN,46,5,0.67,0.03
3404020,PPP,53,0,0.51,0.42
3404020,PSI,65,48,0.75,0.35
3404030,PDIP,70,36,0.44,0.38
3404030,GERINDRA,88,129,0.67,0.5
3404030,GOLKAR,11,109,0.68,0.59
3404030,PKB,61,10,0.38,0.13
3404030,PKS,90,55,0.56,0.05
3404030,NASDEM,46,14,0.56,0.01
3404030,DEMOKRAT,17,69,0.82,1.0
3404030,PAN,10,38,0.5,0.55
3404030,PPP,30,56,0.63,0.5
3404030,PSI,29,119,0.74,0.55
3404040,PDIP,14,64,0.95,0.48
3404040,GERINDRA,58,43,0.7,0.45
3404040,GOLKAR,85,46,0.54,0.09
3404040,PKB,26,53,0.36,0.87
3404040,PKS,37,23,0.77,0.48
3404040,NASDEM,13,48,0.87,0.6
3404040,DEMOKRAT,67,63,0.61,0.95
3404040,PAN,70,77,0.41,0.88
3404040,PPP,34,8,0.42,0.43
3404040,PSI,24,17,0.26,0.12
3404050,PDIP,78,4,0.75,0.39
3404050,GERINDRA,53,0,0.4,0.99
3404050,GOLKAR,25,2,0.33,0.12
3404050,PKB,46,29,0.62,0.83
3404050,PKS,74,57,0.3,0.31
3404050,NASDEM,62,10,0.69,0.53
3404050,DEMOKRAT,6,2,0.35,0.11
3404050,PAN,14,15,0.49,0.65
3404050,PPP,23,40,0.38,0.49
3404050,PSI,22,7,0.78,0.09
3404060,PDIP,23,92,0.44,0.04
3404060,GERINDRA,77,65,0.7,0.94
3404060,GOLKAR,70,109,0.58,0.04
3404060,PKB,28,54,0.78,0.9
3404060,PKS,78,1,0.58,0.06
3404060,NASDEM,81,62,0.24,0.91
3404060,DEMOKRAT,90,15,0.42,0.75
3404060,PAN,80,76,0.57,0.23
3404060,PPP,27,138,0.63,0.18
3404060,PSI,69,66,0.22,0.95
3404070,PDIP,27,54,0.92,0.43
3404070,GERINDRA,70,48,0.44,0.74
3404070,GOLKAR,5,29,0.31,0.65
3404070,PKB,16,62,0.51,0.08
3404070,PKS,54,15,0.42,0.37
3404070,NASDEM,29,13,0.22,0.84
3404070,DEMOKRAT,70,60,0.6,0.34
3404070,PAN,73,8,0.49,0.23
3404070,PPP,45,18,0.16,0.62
3404070,PSI,33,18,0.79,0.12
3404080,PDIP,17,57,0.53,0.11
3404080,GERINDRA,40,54,0.49,0.71
3404080,GOLKAR,80,3,0.91,0.42
3404080,PKB,14,59,0.76,0.66
3404080,PKS,57,52,0.22,0.17
3404080,NASDEM,47,43,0.16,0.5
3404080,DEMOKRAT,6,3,0.52,0.57
3404080,PAN,15,25,0.37,0.47
3404080,PPP,36,10,0.8,0.49
3404080,PSI,24,42,0.72,0.69
3404090,PDIP,26,53,0.19,0.8
3404090,GERINDRA,88,8,0.59,0.8
3404090,GOLKAR,19,76,0.32,0.15
3404090,PKB,36,4,0.89,0.82
3404090,PKS,89,21,0.39,0.12
3404090,NASDEM,27,24,0.65,0.56
3404090,DEMOKRAT,27,74,0.85,0.71
3404090,PAN,11,41,0.74,0.26
3404090,PPP,49,3,0.74,0.24
3404090,PSI,45,37,0.28,0.69
3404100,PDIP,25,30,0.35,0.61
3404100,GERINDRA,78,62,0.88,0.59
3404100,GOLKAR,84,6,0.73,0.92
3404100,PKB,76,64,0.49,0.51
3404100,PKS,81,103,0.59,0.51
3404100,NASDEM,39,114,0.66,0.98
3404100,DEMOKRAT,87,75,0.4,0.34
3404100,PAN,21,55,0.18,0.12
3404100,PPP,14,47,0.68,0.72
3404100,PSI,41,9,0.54,0.56
3404110,PDIP,81,24,0.28,0.48
3404110,GERINDRA,81,12,0.93,0.77
3404110,GOLKAR,70,1,0.91,0.5
3404110,PKB,58,10,0.36,0.78
3404110,PKS,36,20,0.42,0.52
3404110,NASDEM,61,7,0.42,0.22
3404110,DEMOKRAT,51,24,0.3,0.5
3404110,PAN,46,11,0.83,0.81
3404110,PPP,35,24,0.36,0.17
3404110,PSI,44,25,0.39,0.14
3404120,PDIP,80,79,0.47,0.1
3404120,GERINDRA,18,84,0.28,0.91
3404120,GOLKAR,86,79,0.59,0.06
3404120,PKB,39,60,0.9,0.47
3404120,PKS,70,0,0.75,0.8
3404120,NASDEM,38,77,0.9,0.78
3404120,DEMOKRAT,30,79,0.86,0.16
3404120,PAN,52,26,0.25,0.77
3404120,PPP,63,69,0.49,0.6
3404120,PSI,34,30,0.68,0.98
3404130,PDIP,41,92,0.89,0.08
3404130,GERINDRA,80,31,0.49,0.67
3404130,GOLKAR,44,73,0.55,0.34
3404130,PKB,47,42,0.47,0.26
3404130,PKS,17,70,0.24,0.5
3404130,NASDEM,13,60,0.88,0.16
3404130,DEMOKRAT,15,4,0.79,0.12
3404130,PAN,48,25,0.74,0.95
3404130,PPP,86,32,0.67,0.54
3404130,PSI,52,73,0.23,0.0
3404140,PDIP,72,77,0.79,0.66
3404140,GERINDRA,14,36,0.62,0.36
3404140,GOLKAR,75,88,0.35,0.09
3404140,PKB,10,72,0.8,0.12
3404140,PKS,53,56,0.55,0.64
3404140,NASDEM,88,39,0.25,0.11
3404140,DEMOKRAT,19,49,0.26,0.24
3404140,PAN,76,13,0.17,0.96
3404140,PPP,38,93,0.36,0.15
3404140,PSI,51,32,0.63,0.54
3404150,PDIP,62,25,0.8,0.63
3404150,GERINDRA,32,23,0.74,0.84
3404150,GOLKAR,83,13,0.74,0.97
3404150,PKB,89,27,0.37,0.09
3404150,PKS,20,6,0.16,0.83
3404150,NASDEM,13,17,0.89,0.39
3404150,DEMOKRAT,36,5,0.7,0.04
3404150,PAN,6,27,0.34,0.63
3404150,PPP,53,11,0.58,0.71
3404150,PSI,69,15,0.39,0.84
3404160,PDIP,45,18,0.88,0.76
3404160,GERINDRA,72,82,0.42,0.88
3404160,GOLKAR,54,60,0.26,0.81
3404160,PKB,66,88,0.37,0.48
3404160,PKS,28,81,0.22,0.42
3404160,NASDEM,70,18,0.17,0.76
3404160,DEMOKRAT,72,73,0.46,0.74
3404160,PAN,21,66,0.79,0.98
3404160,PPP,8,44,0.68,0.52
3404160,PSI,55,135,0.32,0.79
3404170,PDIP,38,5,0.6,0.51
3404170,GERINDRA,90,46,0.36,0.78
3404170,GOLKAR,18,20,0.73,0.21
3404170,PKB,87,78,0.31,0.44
3404170,PKS,16,22,0.57,0.97
3404170,NASDEM,43,53,0.4,0.47
3404170,DEMOKRAT,84,54,0.83,0.59
3404170,PAN,52,87,0.55,0.51
3404170,PPP,16,24,0.62,0.12
3404170,PSI,24,12,0.78,0.17
