kode_wilayah,tim,jumlah,aktif_30hari
3404010,Korcam,10,10
3404010,Kordes,37,37
3404010,Relawan,409,409
3404020,Korcam,8,8
3404020,Kordes,31,31
3404020,Relawan,344,344
3404030,Korcam,16,16
3404030,Kordes,64,64
3404030,Relawan,711,711
3404040,Korcam,10,10
3404040,Kordes,40,40
3404040,Relawan,439,439
3404050,Korcam,8,8
3404050,Kordes,29,29
3404050,Relawan,317,317
3404060,Korcam,19,19
3404060,Kordes,74,74
3404060,Relawan,827,827
3404070,Korcam,8,8
3404070,Kordes,30,30
3404070,Relawan,336,336
3404080,Korcam,8,8
3404080,Kordes,29,29
3404080,Relawan,314,314
3404090,Korcam,11,11
3404090,Kordes,42,42
3404090,Relawan,464,464
3404100,Korcam,15,15
3404100,Kordes,60,60
3404100,Relawan,668,668
3404110,Korcam,5,4
3404110,Kordes,28,15
3404110,Relawan,349,163
3404120,Korcam,17,17
3404120,Kordes,67,67
3404120,Relawan,750,750
3404130,Korcam,12,12
3404130,Kordes,48,48
3404130,Relawan,534,534
3404140,Korcam,13,13
3404140,Kordes,49,49
3404140,Relawan,546,546
3404150,Korcam,4,4
3404150,Kordes,25,15
3404150,Relawan,168,163
3404160,Korcam,18,18
3404160,Kordes,71,71
3404160,Relawan,791,791
3404170,Korcam,11,11
3404170,Kordes,42,42
3404170,Relawan,469,469
