partai,tingkat,kode_wilayah,nama_unit,pengurus,kader,target_unit,terbentuk,ketua,kontak
PDIP,DPD II / DPC,,DPC PDIP Kabupaten,43,1459,1,ya,,
PDIP,PAC / Kecamatan,3404010,PAC PDIP Moyudan,9,545,1,ya,,
PDIP,Ranting / Desa,3404010,Ranting PDIP Moyudan,171,204,19,19,,
PDIP,Anak Ranting / RT,3404010,Anak ranting PDIP Moyudan,228,94,76,76,,
PDIP,PAC / Kecamatan,3404020,PAC PDIP Minggir,9,696,1,ya,,
PDIP,Ranting / Desa,3404020,Ranting PDIP Minggir,144,554,16,16,,
PDIP,Anak Ranting / RT,3404020,Anak ranting PDIP Minggir,192,360,64,64,,
PDIP,PAC / Kecamatan,3404030,PAC PDIP Seyegan,19,1449,1,ya,,
PDIP,Ranting / Desa,3404030,Ranting PDIP Seyegan,288,1983,32,32,,
PDIP,Anak Ranting / RT,3404030,Anak ranting PDIP Seyegan,396,149,132,132,,
PDIP,PAC / Kecamatan,3404040,PAC PDIP Godean,11,496,1,ya,,
PDIP,Ranting / Desa,3404040,Ranting PDIP Godean,180,460,20,20,,
PDIP,Anak Ranting / RT,3404040,Anak ranting PDIP Godean,246,316,82,82,,
PDIP,PAC / Kecamatan,3404050,PAC PDIP Gamping,20,678,1,ya,,
PDIP,Ranting / Desa,3404050,Ranting PDIP Gamping,135,477,15,15,,
PDIP,Anak Ranting / RT,3404050,Anak ranting PDIP Gamping,177,191,59,59,,
PDIP,PAC / Kecamatan,3404060,PAC PDIP Mlati,16,2250,1,ya,,
PDIP,Ranting / Desa,3404060,Ranting PDIP Mlati,333,2119,37,37,,
PDIP,Anak Ranting / RT,3404060,Anak ranting PDIP Mlati,462,803,154,154,,
PDIP,PAC / Kecamatan,3404070,PAC PDIP Depok,14,316,1,ya,,
PDIP,Ranting / Desa,3404070,Ranting PDIP Depok,135,836,15,15,,
PDIP,Anak Ranting / RT,3404070,Anak ranting PDIP Depok,189,241,63,63,,
PDIP,PAC / Kecamatan,3404080,PAC PDIP Berbah,21,474,1,ya,,
PDIP,Ranting / Desa,3404080,Ranting PDIP Berbah,135,419,15,15,,
PDIP,Anak Ranting / RT,3404080,Anak ranting PDIP Berbah,177,95,59,59,,
PDIP,PAC / Kecamatan,3404090,PAC PDIP Prambanan,17,250,1,ya,,
PDIP,Ranting / Desa,3404090,Ranting PDIP Prambanan,189,1573,21,21,,
PDIP,Anak Ranting / RT,3404090,Anak ranting PDIP Prambanan,261,337,87,87,,
PDIP,PAC / Kecamatan,3404100,PAC PDIP Kalasan,9,710,1,ya,,
PDIP,Ranting / Desa,3404100,Ranting PDIP Kalasan,270,1191,30,30,,
PDIP,Anak Ranting / RT,3404100,Anak ranting PDIP Kalasan,372,570,124,124,,
PDIP,PAC / Kecamatan,3404110,PAC PDIP Ngemplak,18,380,1,ya,,
PDIP,Ranting / Desa,3404110,Ranting PDIP Ngemplak,72,334,8,8,,
PDIP,Anak Ranting / RT,3404110,Anak ranting PDIP Ngemplak,93,112,31,31,,
PDIP,PAC / Kecamatan,3404120,PAC PDIP Ngaglik,16,500,1,ya,,
PDIP,Ranting / Desa,3404120,Ranting PDIP Ngaglik,306,1973,34,34,,
PDIP,Anak Ranting / RT,3404120,Anak ranting PDIP Ngaglik,417,877,139,139,,
PDIP,PAC / Kecamatan,3404130,PAC PDIP Sleman,20,1012,1,ya,,
PDIP,Ranting / Desa,3404130,Ranting PDIP Sleman,216,2166,24,24,,
PDIP,Anak Ranting / RT,3404130,Anak ranting PDIP Sleman,297,495,99,99,,
PDIP,PAC / Kecamatan,3404140,PAC PDIP Tempel,20,305,1,ya,,
PDIP,Ranting / Desa,3404140,Ranting PDIP Tempel,225,859,25,25,,
