kode_wilayah,tanggal,lembaga,n_sampel,kandidat,responden_dukung
3404010,2029-06-15,Contoh Riset,189,01,73
3404010,2029-06-15,Contoh Riset,189,02,49
3404010,2029-06-15,Contoh Riset,189,03,44
3404020,2029-06-15,Contoh Riset,398,01,113
3404020,2029-06-15,Contoh Riset,398,02,119
3404020,2029-06-15,Contoh Riset,398,03,100
3404030,2029-06-15,Contoh Riset,266,01,110
3404030,2029-06-15,Contoh Riset,266,02,100
3404030,2029-06-15,Contoh Riset,266,03,26
3404050,2029-06-15,Contoh Riset,169,01,76
3404050,2029-06-15,Contoh Riset,169,02,64
3404050,2029-06-15,Contoh Riset,169,03,19
3404060,2029-06-15,Contoh Riset,181,01,84
3404060,2029-06-15,Contoh Riset,181,02,41
3404060,2029-06-15,Contoh Riset,181,03,36
3404070,2029-06-15,Contoh Riset,282,01,119
3404070,2029-06-15,Contoh Riset,282,02,92
3404070,2029-06-15,Contoh Riset,282,03,48
3404090,2029-06-15,Contoh Riset,223,01,98
3404090,2029-06-15,Contoh Riset,223,02,61
3404090,2029-06-15,Contoh Riset,223,03,39
3404100,2029-06-15,Contoh Riset,130,01,37
3404100,2029-06-15,Contoh Riset,130,02,37
3404100,2029-06-15,Contoh Riset,130,03,32
3404110,2029-06-15,Contoh Riset,313,01,145
3404110,2029-06-15,Contoh Riset,313,02,120
3404110,2029-06-15,Contoh Riset,313,03,9
3404130,2029-06-15,Contoh Riset,122,01,33
3404130,2029-06-15,Contoh Riset,122,02,41
3404130,2029-06-15,Contoh Riset,122,03,30
3404140,2029-06-15,Contoh Riset,358,01,146
3404140,2029-06-15,Contoh Riset,358,02,124
3404140,2029-06-15,Contoh Riset,358,03,64
3404150,2029-06-15,Contoh Riset,355,01,130
3404150,2029-06-15,Contoh Riset,355,02,123
3404150,2029-06-15,Contoh Riset,355,03,55
3404160,2029-06-15,Contoh Riset,250,01,72
3404160,2029-06-15,Contoh Riset,250,02,56
3404160,2029-06-15,Contoh Riset,250,03,62
3404170,2029-06-15,Contoh Riset,155,01,43
3404170,2029-06-15,Contoh Riset,155,02,39
3404170,2029-06-15,Contoh Riset,155,03,39
3404040,2029-06-20,Uji Impor,300,01,120
3404040,2029-06-20,Uji Impor,300,02,95
3404040,2029-06-20,Uji Impor,300,03,55
