kode,provinsi,kabupaten,kecamatan,desa,dapil,dpt,kk,tps,lat,lon,luas_km2,indeks_urban
3404010,DI Yogyakarta,Sleman,Moyudan,,Dapil 5,45504,14089,76,-7.77,110.253,27.6,0.749
3404020,DI Yogyakarta,Sleman,Minggir,,Dapil 5,38217,11936,64,-7.733,110.242,27.3,0.636
3404030,DI Yogyakarta,Sleman,Seyegan,,Dapil 5,79009,23683,132,-7.712,110.283,26.6,1.0
3404040,DI Yogyakarta,Sleman,Godean,,Dapil 5,48876,16248,82,-7.766,110.292,26.8,0.829
3404050,DI Yogyakarta,Sleman,Gamping,,Dapil 4,35377,12360,59,-7.792,110.322,29.3,0.549
3404060,DI Yogyakarta,Sleman,Mlati,,Dapil 4,91923,31054,154,-7.74,110.345,28.5,1.0
3404070,DI Yogyakarta,Sleman,Depok,,Dapil 1,37353,11216,63,-7.762,110.4,35.5,0.478
3404080,DI Yogyakarta,Sleman,Berbah,,Dapil 2,35061,12779,59,-7.803,110.442,23.0,0.693
3404090,DI Yogyakarta,Sleman,Prambanan,,Dapil 2,51666,17101,87,-7.762,110.492,41.4,0.567
3404100,DI Yogyakarta,Sleman,Kalasan,,Dapil 2,74223,21843,124,-7.762,110.462,35.8,0.942
3404110,DI Yogyakarta,Sleman,Ngemplak,,Dapil 3,18198,5475,31,-7.712,110.432,35.7,0.232
3404120,DI Yogyakarta,Sleman,Ngaglik,,Dapil 1,83356,29696,139,-7.712,110.392,38.5,0.984
3404130,DI Yogyakarta,Sleman,Sleman,,Dapil 4,59359,18034,99,-7.7,110.332,31.3,0.862
3404140,DI Yogyakarta,Sleman,Tempel,,Dapil 5,60759,18813,102,-7.663,110.303,32.5,0.85
3404150,DI Yogyakarta,Sleman,Turi,,Dapil 3,18127,5353,31,-7.622,110.342,43.1,0.191
3404160,DI Yogyakarta,Sleman,Pakem,,Dapil 3,87921,26050,147,-7.652,110.402,43.8,0.912
3404170,DI Yogyakarta,Sleman,Cangkringan,,Dapil 3,52162,15638,87,-7.633,110.452,47.9,0.495
